danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name
0.764,0.521,0,-7.731,1,0.0881,0.292,0.0,0.244,0.524,120.51,0drALgikHfRAxeVPsZp7D6,spotify:track:0drALgikHfRAxeVPsZp7D6,195267,4,1,Amor Salvaje,"['cumbia villera', 'folclore salteno', 'folklore argentino']",Chaqueño Palavecino
0.556,0.183,5,-9.929,0,0.0407,0.939,1.88e-06,0.0993,0.254,108.101,16QUNPWkItP4rvIBCy3GCL,spotify:track:16QUNPWkItP4rvIBCy3GCL,192893,4,1,No Soy de Aquí... Ni Soy de Allá,"['chamame', 'folclore jujeno', 'folklore argentino', 'nueva cancion', 'polca paraguaya', 'rock nacional']",Jorge Cafrune
0.492,0.541,7,-9.524,1,0.112,0.832,0.0,0.136,0.77,121.935,3PI0FE7JUmEmEyN5YgKPZA,spotify:track:3PI0FE7JUmEmEyN5YgKPZA,174573,4,1,Cambalache,[],Enrique Santos Discépolo
0.765,0.297,8,-11.055,0,0.123,0.933,4.74e-06,0.112,0.401,128.215,2hHO1v7obfbSLLPC0YC4vv,spotify:track:2hHO1v7obfbSLLPC0YC4vv,193853,4,1,Si De Rabia Nomas,"['argentine rock', 'canto popular uruguayo', 'chamame', 'folklore argentino', 'nueva cancion', 'rock nacional']",Jose Larralde
0.674,0.116,9,-15.115,0,0.0888,0.982,0.00457,0.101,0.258,68.862,5k2lL3scDx8n2t5eSvzJyM,spotify:track:5k2lL3scDx8n2t5eSvzJyM,169173,3,1,Que Cruz La Que Lleva El Viento,"['argentine rock', 'canto popular uruguayo', 'chamame', 'folklore argentino', 'nueva cancion', 'rock nacional']",Jose Larralde
0.805,0.454,0,-9.231,1,0.0416,0.837,0.0,0.104,0.866,87.029,7EoFAsSswkr7Kj7KYuujJ6,spotify:track:7EoFAsSswkr7Kj7KYuujJ6,191547,4,1,El Porque,"['argentine rock', 'canto popular uruguayo', 'chamame', 'folklore argentino', 'nueva cancion', 'rock nacional']",Jose Larralde
0.531,0.277,2,-12.523,0,0.0565,0.937,0.000672,0.112,0.557,86.332,2Dq2ULQycnjUXhVFTkpSt6,spotify:track:2Dq2ULQycnjUXhVFTkpSt6,158133,4,1,Quien Me Enseño,"['argentine rock', 'canto popular uruguayo', 'chamame', 'folklore argentino', 'nueva cancion', 'rock nacional']",Jose Larralde
0.581,0.413,5,-8.024,0,0.0401,0.954,0.000294,0.11,0.441,133.646,5lLB0IwfUltytUpjLdZfz8,spotify:track:5lLB0IwfUltytUpjLdZfz8,203613,4,1,Si Se Calla El Cantor,"['folklore argentino', 'nueva cancion']",Horacio Guarany
0.702,0.778,7,-7.931,1,0.0314,0.0997,0.0,0.163,0.932,145.932,2POTQjCiCtUyUZFNQYlM7z,spotify:track:2POTQjCiCtUyUZFNQYlM7z,228173,4,1,Lo mejor del amor,"['argentine rock', 'cuarteto', 'cumbia pop', 'cumbia villera', 'rock en espanol']",Rodrigo
0.668,0.867,8,-4.281,1,0.106,0.512,0.0,0.0979,0.669,79.048,2cTKuxpHcPzDFRbbhE2WxP,spotify:track:2cTKuxpHcPzDFRbbhE2WxP,224453,4,1,La Cabaña,"['cuarteto', 'cumbia pop']",La K'onga
0.765,0.754,0,-7.224,0,0.0878,0.183,0.0,0.0577,0.94,152.023,2rH0wmizsjwSW3MY288347,spotify:track:2rH0wmizsjwSW3MY288347,223027,4,1,Llegó Tu Papi,['cuarteto'],Sabroso
