,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature,track_name,artist_name,most_common_genre,min_lyrics_sentiment,max_lyrics_sentiment,avg_lyrics_sentiment
69,0.72,0.784,0,-7.905,1,0.10300000000000001,0.075,0.10800000000000001,0.963,162.362,263200,4,No Me Dejan Salir,Charly García,argentine rock,0.505299985408783,0.005200000014156103,0.4609
70,0.616,0.701,1,-8.467,1,0.0629,0.00321,0.0,0.41100000000000003,78.983,135973,4,Demoliendo Hoteles,Charly García,argentine rock,0.7236999869346619,0.0,0.4607
71,0.8390000000000001,0.44799999999999995,5,-15.116,1,0.0389,0.0087,0.019,0.919,131.69799999999998,313840,4,Es Por Amor,GIT,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
72,0.58,0.929,4,-4.849,0,0.0388,0.0629,0.000223,0.884,94.995,156198,4,Irresponsables,Babasónicos,argentine rock,0.5063999891281128,0.007699999958276749,0.457
73,0.629,0.866,9,-5.4910000000000005,1,0.0355,0.0591,0.0558,0.9520000000000001,137.011,187478,4,Y qué,Babasónicos,argentine rock,0.5047000050544739,0.5047000050544739,0.5047
74,0.586,0.71,0,-6.124,1,0.0308,0.406,0.00032599999999999996,0.384,128.362,187133,4,Risa,Babasónicos,argentine rock,0.5145000219345093,0.0015999999595806003,0.473
75,0.687,0.387,11,-9.842,0,0.0273,0.203,0.000335,0.602,112.72200000000001,185826,4,El Loco,Babasónicos,argentine rock,0.9973000288009644,0.08009999990463257,0.4976
76,0.387,0.972,7,-2.84,0,0.10099999999999999,0.565,4.83e-06,0.8390000000000001,192.392,285093,4,Sin documentos,Los Rodriguez,argentine rock,0.5627999901771545,0.21449999511241913,0.4881
77,0.615,0.833,2,-5.377000000000001,1,0.0292,0.19,0.696,0.731,126.51899999999999,345533,4,En la Ciudad de la Furia,Soda Stereo,argentine rock,0.8137000203132629,9.999999747378752e-05,0.4237
78,0.574,0.938,4,-4.98,0,0.0466,0.0164,4.7600000000000005e-05,0.512,100.93,295000,4,Persiana Americana,Soda Stereo,argentine rock,0.8288000226020813,0.03310000151395798,0.4831
79,0.603,0.65,0,-6.615,0,0.0322,0.649,0.0,0.621,135.985,221520,4,Amor Secreto,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
80,0.5670000000000001,0.655,9,-6.885,1,0.0286,0.537,0.0,0.7829999999999999,141.961,228520,4,Para Volver,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
81,0.64,0.585,10,-7.084,0,0.0531,0.512,0.0,0.674,136.111,250027,4,Oh Señor,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
82,0.639,0.855,5,-4.92,0,0.0653,0.455,0.0,0.745,155.959,198763,4,Besame,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
83,0.679,0.63,7,-6.207000000000001,0,0.0283,0.111,0.0,0.711,100.087,270146,4,Y se murió de amor,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
84,0.659,0.87,7,-5.216,1,0.0872,0.29,0.0,0.633,151.179,184360,4,Ese guaso,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
85,0.457,0.773,2,-6.957000000000001,1,0.233,0.45299999999999996,0.0,0.402,154.012,272640,4,Solo tú,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
86,0.529,0.83,9,-5.835,0,0.0685,0.083,0.0,0.748,153.208,222000,4,Mujer y amante,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
87,0.635,0.932,7,-4.579,0,0.0551,0.0614,0.0,0.765,158.16899999999998,177387,4,La enamorada,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
88,0.561,0.8440000000000001,7,-6.303999999999999,1,0.0395,0.0195,0.0,0.431,155.171,233040,4,Hiciste de mí,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
89,0.531,0.773,5,-7.604,0,0.0352,0.301,0.0,0.525,147.06799999999998,326520,4,Madre Soltera,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
90,0.44299999999999995,0.75,0,-8.357000000000001,0,0.153,0.29600000000000004,0.0,0.769,199.965,290960,4,Amigos,La Mona Jimenez,cuarteto,0.5047000050544739,0.5047000050544739,0.5047
