,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature,num_artists,track_name,genero,artist_name,most_common_genre
1080,0.815,0.751,7,-6.851,1,0.104,0.046,0.0,0.14,0.794,89.966,338dXsT9cqLXupIJjPvJir,spotify:track:338dXsT9cqLXupIJjPvJir,191107,4,2,Gente Que No,['cumbia villera'],Damas Gratis,cumbia villera
1081,0.611,0.764,10,-3.756,0,0.0425,0.0234,0.0,0.0708,0.861,82.956,4Po5QS79EJd6khV20EWjms,spotify:track:4Po5QS79EJd6khV20EWjms,228573,4,1,Re Loco Re Mamado,['cumbia villera'],Damas Gratis,cumbia villera
1082,0.745,0.708,2,-5.168,1,0.0479,0.14,0.0,0.348,0.918,85.974,6rhpIj1BSFQ4J0PEiCkMDP,spotify:track:6rhpIj1BSFQ4J0PEiCkMDP,244933,4,1,Atrevida,['cumbia villera'],Damas Gratis,cumbia villera
1083,0.814,0.851,2,-5.893,1,0.161,0.374,0.0,0.261,0.897,83.968,1HOjdcAZRbJguHkVeipxdF,spotify:track:1HOjdcAZRbJguHkVeipxdF,202960,4,1,Menea para mi,['cumbia villera'],Damas Gratis,cumbia villera
1084,0.643,0.839,7,-3.608,1,0.0685,0.111,0.000118,0.0989,0.835,84.645,5CmYHW6tHT8tPbLef7mjBP,spotify:track:5CmYHW6tHT8tPbLef7mjBP,299427,4,1,Mirá Como Está La Vagancia,['cumbia villera'],Damas Gratis,cumbia villera
1085,0.864,0.813,7,-4.484,1,0.062,0.246,0.00181,0.033,0.794,98.02,3RxFQSlNXtcH3gVlAsCRhE,spotify:track:3RxFQSlNXtcH3gVlAsCRhE,1047973,4,10,Batalla Villera,['cumbia villera'],Eh!!! Guacho,cumbia villera
1086,0.592,0.781,4,-3.955,1,0.0432,0.0992,0.0,0.0615,0.742,81.853,4PQCDiK07ZeB2cVIdBoOEi,spotify:track:4PQCDiK07ZeB2cVIdBoOEi,299493,4,1,Pucho Loco,['cumbia villera'],Damas Gratis,cumbia villera
1087,0.76,0.686,7,-3.79,1,0.124,0.137,0.0053,0.0636,0.785,81.943,7ACQEtnhsTCcAJ8StRdQ8l,spotify:track:7ACQEtnhsTCcAJ8StRdQ8l,221693,4,1,Quieren Bajarme,['cumbia villera'],Damas Gratis,cumbia villera
1088,0.656,0.72,7,-3.207,1,0.0369,0.0506,1.65e-06,0.0986,0.885,82.97,5TeR8mxL3B4vONtNfb6aLK,spotify:track:5TeR8mxL3B4vONtNfb6aLK,196627,4,1,Poli en Acción,['cumbia villera'],Damas Gratis,cumbia villera
1089,0.665,0.806,6,-2.166,0,0.0588,0.489,0.0,0.0733,0.962,84.917,5L5MnCwo12V5cDQwm8srnZ,spotify:track:5L5MnCwo12V5cDQwm8srnZ,211280,4,1,Que Cara de Idiota Que Tiene Tu Novio,['cumbia villera'],Damas Gratis,cumbia villera
1090,0.594,0.732,7,-2.875,1,0.0346,0.0385,0.65,0.107,0.736,95.059,1bQR9zy4vw1RuTOgOBitDB,spotify:track:1bQR9zy4vw1RuTOgOBitDB,248120,4,1,Su Mujer,['cumbia villera'],Damas Gratis,cumbia villera
1091,0.594,0.841,5,-3.292,0,0.0826,0.183,0.0,0.171,0.786,84.295,0afBIRqOPTLPNHzRMPLEf0,spotify:track:0afBIRqOPTLPNHzRMPLEf0,212253,3,1,El humo de mi fasito,['cumbia villera'],Damas Gratis,cumbia villera
1092,0.549,0.765,7,-1.932,1,0.0375,0.0685,0.000228,0.055,0.711,180.048,5dw29DgD1ATb2xvDFnbCfd,spotify:track:5dw29DgD1ATb2xvDFnbCfd,265827,4,1,Somos Nosotros la Hinchada,['cumbia villera'],Damas Gratis,cumbia villera
1093,0.622,0.702,7,-4.183,1,0.0447,0.0468,0.0,0.403,0.716,83.785,0mhgwGAIUiEfNdTkBiUw5a,spotify:track:0mhgwGAIUiEfNdTkBiUw5a,120920,4,1,Tres Teclado al Pedo,['cumbia villera'],Damas Gratis,cumbia villera
1094,0.691,0.778,7,-3.964,1,0.17,0.133,0.0,0.124,0.806,82.651,2VkZsfzwY5Pa3iEBGzZTxH,spotify:track:2VkZsfzwY5Pa3iEBGzZTxH,259067,4,1,El boxeador,['cumbia villera'],Damas Gratis,cumbia villera
1095,0.69,0.83,9,-4.534,0,0.0412,0.205,4.58e-06,0.176,0.93,80.091,44A4qyve1MFOtH1EGAFHjj,spotify:track:44A4qyve1MFOtH1EGAFHjj,275853,4,1,Cumbia en la Playa,['cumbia villera'],Damas Gratis,cumbia villera
1096,0.665,0.729,8,-2.392,1,0.0524,0.275,7.47e-06,0.0924,0.82,85.162,3moLt93VQkbIWR12uxgaEm,spotify:track:3moLt93VQkbIWR12uxgaEm,278280,4,1,Los Dueños de Pabellon,['cumbia villera'],Damas Gratis,cumbia villera
1097,0.686,0.727,7,-1.787,1,0.0803,0.158,0.0,0.324,0.744,86.57,4wbczOy0Vgj8uOP4URhuJN,spotify:track:4wbczOy0Vgj8uOP4URhuJN,246267,4,1,Loro Volvé a Tu Jaula,['cumbia villera'],Damas Gratis,cumbia villera
1098,0.62,0.747,8,-2.504,1,0.0385,0.355,7.98e-05,0.0963,0.857,82.289,6QnRIamwIbMTXzRF7o36ZL,spotify:track:6QnRIamwIbMTXzRF7o36ZL,287747,4,1,Solo Aspirina,['cumbia villera'],Damas Gratis,cumbia villera
1099,0.736,0.866,7,-6.157,1,0.261,0.18,0.00515,0.113,0.93,181.966,4rINLLdxVVKrvXblEqewpc,spotify:track:4rINLLdxVVKrvXblEqewpc,178067,4,1,Sufre Cheto,['cumbia villera'],Damas Gratis,cumbia villera
1100,0.631,0.792,9,-4.259,1,0.0488,0.399,0.0,0.134,0.888,81.461,6ZHydaYmmzJKeceEV5nmuS,spotify:track:6ZHydaYmmzJKeceEV5nmuS,182467,4,1,Ella,['cumbia villera'],Damas Gratis,cumbia villera
1101,0.737,0.758,4,-3.396,0,0.0374,0.0677,3.17e-06,0.282,0.882,87.975,4fVIVVcEgOevAF3LU0NVY1,spotify:track:4fVIVVcEgOevAF3LU0NVY1,250000,4,1,Sos Boton,['cumbia villera'],Damas Gratis,cumbia villera
1102,0.443,0.752,8,-2.096,1,0.185,0.04,1.74e-05,0.0797,0.911,75.017,0nBNS50kcZQRlGDJdflZqr,spotify:track:0nBNS50kcZQRlGDJdflZqr,231453,4,1,Yo Tengo una Piedra,['cumbia villera'],Damas Gratis,cumbia villera
1103,0.602,0.914,7,-1.902,1,0.0328,0.108,0.0,0.256,0.827,86.176,31kX39lcYsiGEaVPRs5Pfb,spotify:track:31kX39lcYsiGEaVPRs5Pfb,279053,4,2,Dramas Gratis,['cumbia villera'],Damas Gratis,cumbia villera
1104,0.566,0.795,2,-3.97,1,0.0632,0.0913,2.81e-06,0.244,0.882,164.94,0Tn9ztRKGlOOSP9yORk3Po,spotify:track:0Tn9ztRKGlOOSP9yORk3Po,244427,4,1,La Va a Pagar,['cumbia villera'],Damas Gratis,cumbia villera
1105,0.717,0.679,8,-2.938,1,0.038,0.209,0.018,0.184,0.818,82.24,0clGKvogpjOhqAnEJR5tSf,spotify:track:0clGKvogpjOhqAnEJR5tSf,264320,4,1,Quiero Vitamina,['cumbia villera'],Damas Gratis,cumbia villera
1106,0.725,0.588,10,-2.456,0,0.0981,0.166,0.0,0.0975,0.748,86.526,48lkknLNDbUTDuSriWVNpy,spotify:track:48lkknLNDbUTDuSriWVNpy,247320,4,1,Me Dejas Así,['cumbia villera'],Damas Gratis,cumbia villera
1107,0.634,0.695,6,-2.1,0,0.054,0.199,0.0,0.0531,0.888,175.993,7xwkJlheBkmNIpK5mv51zY,spotify:track:7xwkJlheBkmNIpK5mv51zY,226520,4,1,Por Tu Culpa Me Hice Ladrón,['cumbia villera'],Damas Gratis,cumbia villera
1108,0.683,0.743,7,-4.673,1,0.148,0.0723,0.00112,0.0932,0.814,84.33,60UMGevSNyGvvYRy7Rrapc,spotify:track:60UMGevSNyGvvYRy7Rrapc,333453,4,1,El super cheto,['cumbia villera'],Damas Gratis,cumbia villera
1109,0.498,0.594,0,-3.336,0,0.043,0.162,1.42e-06,0.254,0.475,86.257,1JvOYkRGMfO7zQbJHdOe28,spotify:track:1JvOYkRGMfO7zQbJHdOe28,260307,4,1,El Fumanchero,['cumbia villera'],Damas Gratis,cumbia villera
1110,0.583,0.88,7,-2.601,1,0.0396,0.0919,0.0,0.107,0.617,92.477,1yve72IFc5X2uwSXeJf08u,spotify:track:1yve72IFc5X2uwSXeJf08u,274560,4,1,El Gran Varón,['cumbia villera'],Damas Gratis,cumbia villera
1111,0.79,0.691,6,-3.956,1,0.044,0.0311,0.0,0.167,0.67,84.553,3HCbXZ1CRR8W2rxoyIMVzc,spotify:track:3HCbXZ1CRR8W2rxoyIMVzc,236213,4,1,La 3ra del Borracho,['cumbia villera'],Damas Gratis,cumbia villera
1112,0.573,0.814,7,-3.313,1,0.0314,0.0613,0.011,0.119,0.454,92.485,2e14ysQClQOndAbjnXj0dP,spotify:track:2e14ysQClQOndAbjnXj0dP,246280,4,1,Esa Pared,['cumbia villera'],Damas Gratis,cumbia villera
1113,0.943,0.621,10,-2.603,0,0.0555,0.107,0.000112,0.339,0.963,98.046,2d7D5eOzALYwuSJUs7WqEH,spotify:track:2d7D5eOzALYwuSJUs7WqEH,199560,4,3,Vete de Mi,['cumbia villera'],Damas Gratis,cumbia villera
1114,0.57,0.737,7,-1.83,1,0.0329,0.106,0.0,0.126,0.752,85.068,78x1lhHHzpEDaWGK2ZLdwB,spotify:track:78x1lhHHzpEDaWGK2ZLdwB,250427,4,1,Terrenal,['cumbia villera'],Damas Gratis,cumbia villera
1115,0.608,0.736,8,-3.456,1,0.0336,0.05,0.000102,0.0654,0.805,83.833,6HFK26h3teZdhRNbhKIlFH,spotify:track:6HFK26h3teZdhRNbhKIlFH,264133,4,1,Todo Pinta Re Mal,['cumbia villera'],Damas Gratis,cumbia villera
1116,0.707,0.687,5,-2.637,0,0.0469,0.271,4.57e-06,0.248,0.907,85.318,4AVrntoJpE7pwtF42p9f19,spotify:track:4AVrntoJpE7pwtF42p9f19,219707,4,1,El Ganador,['cumbia villera'],Damas Gratis,cumbia villera
1117,0.65,0.738,7,-3.283,1,0.0395,0.137,5.46e-06,0.263,0.787,87.593,24VbG88pYjiJfKgPqNOINg,spotify:track:24VbG88pYjiJfKgPqNOINg,222707,4,1,Me Dejas,['cumbia villera'],Damas Gratis,cumbia villera
1118,0.579,0.768,9,-4.956,1,0.067,0.0636,0.00809,0.178,0.936,163.055,2vseDkWuf65Of9AzGtb2fR,spotify:track:2vseDkWuf65Of9AzGtb2fR,299867,4,1,Ke Dificil,['cumbia villera'],Damas Gratis,cumbia villera
1119,0.751,0.675,8,-5.266,1,0.082,0.191,0.00654,0.0549,0.603,83.209,3GUMMzUB7Kk0BSqxEDyieS,spotify:track:3GUMMzUB7Kk0BSqxEDyieS,263315,4,1,Se Te Ve la Tanga,['cumbia villera'],Damas Gratis,cumbia villera
1120,0.579,0.768,9,-4.956,1,0.067,0.0636,0.00809,0.178,0.936,163.055,2vseDkWuf65Of9AzGtb2fR,spotify:track:2vseDkWuf65Of9AzGtb2fR,299867,4,1,Ke Dificil,['cumbia villera'],Damas Gratis,cumbia villera
1121,0.608,0.736,8,-3.456,1,0.0336,0.05,0.000102,0.0654,0.805,83.833,6HFK26h3teZdhRNbhKIlFH,spotify:track:6HFK26h3teZdhRNbhKIlFH,264133,4,1,Todo Pinta Re Mal,['cumbia villera'],Damas Gratis,cumbia villera
1122,0.69,0.83,9,-4.534,0,0.0412,0.205,4.58e-06,0.176,0.93,80.091,44A4qyve1MFOtH1EGAFHjj,spotify:track:44A4qyve1MFOtH1EGAFHjj,275853,4,1,Cumbia en la Playa,['cumbia villera'],Damas Gratis,cumbia villera
1123,0.686,0.727,7,-1.787,1,0.0803,0.158,0.0,0.324,0.744,86.57,4wbczOy0Vgj8uOP4URhuJN,spotify:track:4wbczOy0Vgj8uOP4URhuJN,246267,4,1,Loro Volvé a Tu Jaula,['cumbia villera'],Damas Gratis,cumbia villera
1124,0.594,0.732,7,-2.875,1,0.0346,0.0385,0.65,0.107,0.736,95.059,1bQR9zy4vw1RuTOgOBitDB,spotify:track:1bQR9zy4vw1RuTOgOBitDB,248120,4,1,Su Mujer,['cumbia villera'],Damas Gratis,cumbia villera
1125,0.65,0.738,7,-3.283,1,0.0395,0.137,5.46e-06,0.263,0.787,87.593,24VbG88pYjiJfKgPqNOINg,spotify:track:24VbG88pYjiJfKgPqNOINg,222707,4,1,Me Dejas,['cumbia villera'],Damas Gratis,cumbia villera
